Individu;Edat;Sexe
1024;42;Home
1025;54;Home
1026;51;Dona
1027;54;Dona
1028;56;Home
1029;92;Home
1030;53;Dona
1031;83;Dona
1032;44;Dona
1033;61;Home
1034;43;Dona
1035;38;Dona
1036;83;Home
1037;81;Dona
1038;53;Home
1039;69;Dona
1040;83;Dona
1041;58;Home
1042;49;Dona
1043;94;Dona
1044;85;Home
1045;56;Dona
1046;55;Dona
1047;48;Dona
1048;66;Home
1049;65;Dona
1050;39;Home
1051;36;Dona
1052;59;Home
1053;88;Home
1054;88;Dona
1055;70;Home
1056;88;Dona
1057;74;Dona
1058;50;Home
1059;66;Home
1060;65;Dona
1061;38;Home
1062;63;Dona
1063;36;Dona
1064;59;Home
1065;61;Dona
1066;83;Home
1067;67;Dona
1068;48;Home
1069;47;Dona
1070;40;Dona
1071;54;Dona
1072;64;Home
1073;79;Dona
1074;50;Dona
1075;42;Dona
1076;62;Home
1077;59;Dona
1078;36;Home
1079;54;Dona
1080;57;Dona
1081;40;Dona
1082;61;Home
1083;60;Dona
1084;60;Home
1085;60;Dona
1086;35;Dona
1087;90;Dona
1088;87;Dona
1089;54;Dona
1090;63;Home
1091;64;Dona
1092;39;Home
1093;33;Home
1094;87;Home
1095;83;Dona
1096;52;Dona
1097;82;Home
1098;75;Dona
1099;46;Dona
1100;43;Dona
1101;58;Home
1102;56;Home
1103;54;Dona
1104;52;Dona
1105;50;Dona
1106;49;Home
1107;47;Dona
1108;45;Dona
1109;82;Dona
1110;58;Home
1111;54;Dona
1112;53;Home
1113;49;Home
1114;47;Dona
1115;45;Home
1116;66;Home
1117;65;Dona
1118;42;Dona
1119;76;Home
1120;73;Dona
1121;44;Dona
1122;61;Dona
1123;36;Home
1124;80;Home
1125;74;Dona
1126;51;Home
1127;49;Home
1128;37;Dona
1129;62;Home
1130;61;Dona
1131;38;Dona
1132;67;Home
1133;61;Dona
1134;40;Dona
1135;38;Dona
1136;73;Home
1137;44;Dona
1138;40;Dona
1139;38;Dona
1140;59;Home
1141;57;Dona
1142;55;Home
1143;72;Home
1144;66;Dona
1145;57;Home
1146;57;Dona
1147;35;Home
1148;67;Home
1149;67;Dona
1150;40;Home
1151;36;Home
1152;75;Home
1153;62;Dona
1154;63;Dona
1155;38;Home
1156;72;Home
1157;63;Dona
1158;42;Dona
1159;79;Dona
1160;56;Dona
1161;55;Dona
1162;65;Home
1163;65;Dona
1164;73;Home
1165;69;Dona
1166;45;Home
1167;43;Home
1168;76;Home
1169;79;Dona
1170;49;Home
1171;46;Home
1172;73;Home
1173;71;Dona
1174;47;Dona
1175;42;Dona
1176;40;Dona
1177;48;Home
1178;67;Home
1179;65;Dona
1180;37;Dona
1181;34;Home
1182;72;Home
1183;71;Dona
